city,city_ascii,state_id,state_name,county_name,lat,lng
Chepachet,Chepachet,RI,Rhode Island,Providence,41.9104,-71.6654
Johnson City,Johnson City,TX,Texas,Blanco,30.2743,-98.4065
Hartshorne,Hartshorne,OK,Oklahoma,Pittsburg,34.8392,-95.5596
Rose Hill,Rose Hill,NC,North Carolina,Duplin,34.8261,-78.0259
Ina,Ina,IL,Illinois,Jefferson,38.1499,-88.904
Uniontown,Uniontown,AL,Alabama,Perry,32.449,-87.4958
Lost Hills,Lost Hills,CA,California,Kern,35.6254,-119.6788
Lacon,Lacon,IL,Illinois,Marshall,41.0228,-89.4062
Thorp,Thorp,WI,Wisconsin,Clark,44.9579,-90.8022
Willard,Willard,UT,Utah,Box Elder,41.4148,-112.0448
Oroville,Oroville,WA,Washington,Okanogan,48.9419,-119.4305
French Lick,French Lick,IN,Indiana,Orange,38.5462,-86.6202
Allendale,Allendale,CA,California,Solano,38.4427,-121.9815
Edmonston,Edmonston,MD,Maryland,Prince George's,38.9502,-76.9332
Shiremanstown,Shiremanstown,PA,Pennsylvania,Cumberland,40.2224,-76.9555
South Coatesville,South Coatesville,PA,Pennsylvania,Chester,39.969,-75.8135
Shelby,Shelby,MS,Mississippi,Bolivar,33.9508,-90.7653
El Ojo,El Ojo,PR,Puerto Rico,Santa Isabel,18.0038,-66.3919
West Liberty,West Liberty,OH,Ohio,Logan,40.2569,-83.7584
Cassopolis,Cassopolis,MI,Michigan,Cass,41.9116,-86.0085
Lyndhurst,Lyndhurst,VA,Virginia,Augusta,38.022,-78.9516
Arial,Arial,SC,South Carolina,Pickens,34.8463,-82.6405
Ellijay,Ellijay,GA,Georgia,Gilmer,34.6914,-84.4839
Olton,Olton,TX,Texas,Lamb,34.1802,-102.137
Rossville,Rossville,IN,Indiana,Clinton,40.4196,-86.5958
Clark Mills,Clark Mills,NY,New York,Oneida,43.0895,-75.3757
Tawas City,Tawas City,MI,Michigan,Iosco,44.2679,-83.5244
Port Carbon,Port Carbon,PA,Pennsylvania,Schuylkill,40.6969,-76.1666
Midway,Midway,KY,Kentucky,Woodford,38.1562,-84.676
Middletown,Middletown,CA,California,Lake,38.7518,-122.6221
Huntsville,Huntsville,MO,Missouri,Randolph,39.4364,-92.5437
Waterville,Waterville,NY,New York,Oneida,42.9306,-75.3802
West Homestead,West Homestead,PA,Pennsylvania,Allegheny,40.3978,-79.9186
Gallatin,Gallatin,MO,Missouri,Daviess,39.9106,-93.9642
